,t,hexbug,x,y
0,0,0,41.22279792746133,39.73056994818651
1,1,0,30.03108808290176,41.96891191709844
2,2,0,31.53537117903943,100.64279475982528
3,3,0,41.15633187772937,193.64541484716153
4,4,0,37.94934497816607,260.99213973799124
5,5,0,41.22279792746133,339.6683937823834
6,6,0,50.17616580310903,402.3419689119171
7,7,0,28.328384279476126,405.30655021834065
8,8,0,37.94934497816607,414.92751091703053
9,9,0,21.914410480349453,453.41135371179024
10,10,0,37.94934497816607,501.51615720524023
11,11,0,24.65275616769793,553.7311331573884
12,12,0,27.978998275004074,585.3304331767965
13,13,0,41.15633187772937,639.4165938864629
14,14,0,73.22620087336256,690.728384279476
15,15,0,109.47192990400379,749.9794174884491
16,16,0,134.41874570879963,826.4829859564895
17,17,0,137.365938864629,918.424454148472
18,18,0,134.41874570879963,1002.7738176437135
19,19,0,159.85492227979296,1051.461139896373
20,20,0,198.24148920197442,1051.9473525940411
21,21,0,272.0593886462883,1053.1179039301312
22,22,0,352.23406113537135,1053.1179039301312
23,23,0,422.78777292576433,1043.4969432314413
24,24,0,488.66353013690065,1042.688722931387
25,25,0,557.4812227074237,1040.2899563318779
26,26,0,613.3976091608799,1029.3837545021624
27,27,0,676.1397379912665,1037.0829694323145
28,28,0,775.5563318777295,1040.2899563318779
29,29,0,869.239317457683,1045.76873539095
30,30,0,958.3545851528386,1049.9109170305678
31,31,0,1042.2405991442379,1051.9473525940411
32,32,0,1118.7039301310047,1049.9109170305678
33,33,0,1196.7060292215187,1039.590118187859
34,34,0,1182.843668122271,1008.2200873362447
35,35,0,1197.941752662137,980.2753930381829
36,36,0,1197.941752662137,1002.5184149693114
37,37,0,1195.6716157205242,992.1851528384282
38,38,0,1195.6716157205242,992.1851528384282
39,39,0,1199.1774761027555,1022.2899900192033
40,40,0,1189.2576419213976,1062.7388646288211
41,41,0,1195.6716157205242,1014.6340611353712
42,42,0,1195.6716157205242,950.494323144105
43,43,0,1166.8087336244544,863.9056768558953
44,44,0,1166.8087336244544,796.5589519650655
45,45,0,1212.7704339495563,722.0091939489691
46,46,0,1211.534710508938,665.1659156805298
47,47,0,1179.4059010528636,624.3870421401276
48,48,0,1199.1774761027555,567.5437638716883
49,49,0,1201.8812699764223,508.6931284416837
50,50,0,1205.2925764192141,463.03231441048035
51,51,0,1221.3275109170308,357.2017467248909
52,52,0,1211.706550218341,312.30393013100434
53,53,0,1198.5550278691164,264.2143335546842
54,54,0,1185.2500594398919,199.35261246221495
55,55,0,1147.5668122270745,119.88471615720516
56,56,0,1125.1179039301312,36.50305676855885
57,57,0,1065.5053435768718,28.05114393595011
58,58,0,1000.0454148471617,33.29606986899557
59,59,0,923.0777292576422,58.95196506550212
60,60,0,849.2996066019743,41.35611236517451
61,61,0,775.5563318777295,36.50305676855885
62,62,0,719.5761644170359,26.388022882297037
63,63,0,676.1397379912665,26.882096069868908
64,64,0,612.0000000000002,36.50305676855885
65,65,0,533.3066064078935,31.377386043256195
66,66,0,458.06462882096093,49.33100436681218
67,67,0,403.54585152838445,123.0917030567685
68,68,0,313.75021834061147,123.0917030567685
69,69,0,220.6398483211188,38.029870257868424
70,70,0,152.45188512134348,109.54407556494988
71,71,0,114.20010088732316,189.37388614029663
72,72,0,44.34901663389475,264.2143335546842
73,73,0,64.30646927773144,344.0441441300309
74,74,0,140.57292576419226,370.0296943231441
75,75,0,207.91965065502197,421.3414847161572
76,76,0,294.5082969432316,504.7231441048035
77,77,0,387.51091703056784,591.3117903930131
78,78,0,448.4436681222709,658.6585152838428
79,79,0,531.8253275109172,745.2471615720525
80,80,0,618.4139737991269,809.3868995633188
81,81,0,688.9676855895199,883.1475982532752
82,82,0,765.9353711790395,944.0803493449782
83,83,0,823.6611353711793,1008.2200873362447
84,84,0,897.4218340611355,1024.2550218340614
85,85,0,958.3545851528386,969.7362445414849
86,86,0,1054.1246883789402,1064.3092966288773
87,87,0,1121.910917030568,995.3921397379913
88,88,0,1200.479341100409,946.2277018195102
89,89,0,1123.9757726323685,856.419164922245
90,90,0,1150.7737991266379,780.524017467249
91,91,0,1198.8786026200876,709.970305676856
92,92,0,1198.8786026200876,613.7606986899564
93,93,0,1197.153098993103,508.82686470875603
94,94,0,1205.4687042613682,437.3126594016745
95,95,0,1200.479341100409,360.8090909336339
96,96,0,1212.1211884759805,310.91545932404216
97,97,0,1212.1211884759805,290.9580066802055
98,98,0,1203.8055832077152,266.0111908754096
99,99,0,1202.1424621540614,219.4438013731241
100,100,0,1166.8087336244544,161.57554585152832
