,t,hexbug,x,y
0,0,0,982.1269296740993,1545.2950257289879
1,1,0,1023.7620185346448,1513.8877743352195
2,2,0,1027.2741569348086,1506.863497534892
3,3,0,1005.3232919337855,1527.0582933358332
4,4,0,921.0319703298574,1635.056549140866
5,5,0,851.6672369266253,1694.762901943649
6,6,0,754.2053963220833,1589.3987499387388
7,7,0,651.4753481172957,1496.327082334401
8,8,0,539.9649539120992,1396.2311379297364
9,9,0,422.09948542024017,1280.0188679245282
10,10,0,344.16323810297445,1131.0646887173789
11,11,0,257.23781269892334,975.6525645101365
12,12,0,226.50660169749113,803.5577829021164
13,13,0,237.92105149802305,626.1947936938507
14,14,0,257.2378126989232,455.8560812859125
15,15,0,315.1880963016239,284.63933427793324
16,16,0,366.992137704038,109.03241426974948
17,17,0,430.2106289069842,216.1526354747416
18,18,0,525.9164003114444,333.80927188022474
19,19,0,619.8661025158228,442.6855622852987
20,20,0,717.3279431203648,541.0254374898816
21,21,0,832.3504757257249,646.3895894947918
22,22,0,912.2516243294485,801.8017137020346
23,23,0,918.397866529735,950.1895611089501
24,24,0,885.9105863282209,1093.3092009156203
25,25,0,827.0822681254792,1232.9167023221266
26,26,0,703.2793895197099,1343.549061927282
27,27,0,562.7938535131623,1413.7918299305559
28,28,0,424.06438670669684,1421.6941413309241
29,29,0,315.2521440823315,1338.9691252144094
30,30,0,189.629148495771,1260.1357749233948
31,31,0,34.217024288528194,1178.4785571195894
32,32,0,112.610634648369,1198.9622641509443
33,33,0,101.5574614065165,1173.171526586622
34,34,0,42.60720411663658,1092.1149228130369
35,35,0,141.3372454935206,958.0918725093179
36,36,0,256.30188679245146,874.7358490566046
37,37,0,377.52855290452806,839.557201503794
38,38,0,512.7458813108299,803.5577829021161
39,39,0,667.2799709180318,721.0225304982696
40,40,0,834.1065449258067,656.9260046952825
41,41,0,993.0308075332132,620.9265860936048
42,42,0,957.0313889315355,563.8543370909449
43,43,0,965.8117349319446,501.5138804880396
44,44,0,1012.3475687341133,407.564178283661
45,45,0,944.7389045309626,264.4445384769911
46,46,0,909.6175205293255,149.42200587163043
47,47,0,720.8400815205277,136.2514868710167
48,48,0,601.4273759149626,100.25206826933895
49,49,0,461.8198745084561,217.03067007478143
50,50,0,323.09040770199033,247.76188107621368
51,51,0,182.61406518010153,211.54545454545482
52,52,0,192.2632522958932,144.153798271385
53,53,0,337.1389613026451,159.08038647208065
54,54,0,479.3805665092742,195.07980507375842
55,55,0,587.8970840480264,263.12692967409976
56,56,0,679.5724553186039,282.88326507785035
57,57,0,763.8637769225323,246.8838464761726
58,58,0,901.715209128957,274.9809536774821
59,59,0,1030.7862953349722,366.2965520817379
60,60,0,934.2024893304707,546.2936450901265
61,61,0,844.6429601262971,699.9497000972874
62,62,0,713.8158047201999,758.7780183000291
63,63,0,598.9502572898788,760.5197255574622
64,64,0,461.81987450845594,752.6317760997426
65,65,0,313.4320271015405,734.1930494988832
66,66,0,165.92221429466593,665.7063506956914
67,67,0,56.16788928955101,546.2936450901261
68,68,0,189.98284734133654,465.76843910806224
69,69,0,311.6759579014586,412.8323858839064
70,70,0,459.18577070833305,369.80869048190135
71,71,0,621.0566037735838,362.6054888507722
72,72,0,716.8507718696388,465.76843910806224
73,73,0,714.6938393202405,591.0734096922133
74,74,0,668.9536878216114,672.0943396226421
75,75,0,578.5984763138979,754.3878452998242
76,76,0,438.11294030735075,840.4352361038343
77,77,0,276.55457389982166,872.0444817053071
78,78,0,129.04476109294725,832.5329247034656
79,79,0,43.875404888978096,757.0219490999466
80,80,0,170.31238729487043,704.3398730974915
81,81,0,224.75053249740742,612.1462400931949
82,82,0,323.0904077019902,469.9046348865661
83,83,0,483.7707395094784,357.5162060813286
84,84,0,642.6950021168847,357.5162060813285
85,85,0,740.1568427214268,416.34452428406996
86,86,0,752.4493271219994,494.48960368771174
87,87,0,764.7478559176662,602.0909090909097
88,88,0,751.5712925219585,756.1439144999053
89,89,0,687.3756432246988,926.3173241852495
90,90,0,582.9886493141022,1089.797062515454
91,91,0,464.45397830857826,1217.9901141214282
92,92,0,309.9198887013767,1279.4525361242922
93,93,0,162.41007589450248,1315.4519547259697
94,94,0,65.82626989000164,1377.7924113288748
95,95,0,197.53145989613927,1444.5230409319843
96,96,0,253.7256742987579,1538.4727431363622
97,97,0,241.56432246998145,1655.8267581475143
98,98,0,263.67066895368646,1626.3516295025743
99,99,0,230.01874009765316,1583.2525077384485
100,100,0,135.19100329323402,1548.1311237368118
