,t,hexbug,x,y
0,0,0,729.1848537005164,1146.3142857142857
1,0,1,106.90740103270218,1402.7301204819278
2,0,2,1053.2483001447724,1443.4706463996963
3,1,0,679.1524956970741,1111.9170395869191
4,1,1,47.49397590361434,1362.078829604131
5,1,2,989.6842091327308,1457.8872443611904
6,2,0,584.203671244758,1094.7324551821573
7,2,1,82.25464003926425,1309.7784900859442
8,2,2,984.4418098740057,1462.4743437125749
9,3,0,485.27710843373507,1111.9170395869191
10,3,1,63.12908777969005,1265.1411359724616
11,3,2,1042.1082017199815,1461.1637438978935
12,4,0,378.95834767642,1115.0440619621345
13,4,1,33.58825183210831,1216.0066689063024
14,4,2,1009.3432063529498,1473.6144421373656
15,5,0,266.0521726992911,1099.831863488534
16,5,1,44.36695352839922,1152.5683304647164
17,5,2,1042.1082017199815,1462.4743437125749
18,6,0,169.44784853700514,1074.3927710843377
19,6,1,56.875043029259814,1071.2657487091224
20,6,2,1040.1423019979597,1465.750843249278
21,7,0,122.5425129087779,989.9631669535285
22,7,1,41.2399311531841,977.455077452668
23,7,2,1024.4151042217845,1478.20154148875
24,8,0,146.9892740507637,881.1089089342018
25,8,1,53.75390441176239,911.0710726331043
26,8,2,1036.8658024612564,1460.508443990553
27,9,0,122.5425129087779,783.5796901893289
28,9,1,60.809483590934406,814.938806316886
29,9,2,1030.9681032951908,1470.993242508003
30,10,0,123.82874655966918,658.5846592481982
31,10,1,44.36695352839922,717.9122203098108
32,10,2,1027.0363038511468,1474.9250419520467
33,11,0,120.30095697008312,530.702286625706
34,11,1,34.98588640275375,630.3555938037867
35,11,2,1009.9985062602905,1476.8909416740687
36,12,0,119.41549053356277,436.4802065404476
37,12,1,46.69832523259038,522.1322703812491
38,12,2,1059.145999310838,1470.3379426006622
39,13,0,162.63443204511503,420.4588619511438
40,13,1,44.36695352839922,455.24234079173846
41,13,2,1017.8621051483781,1475.5803418593873
42,14,0,257.0028035665403,397.5282296188348
43,14,1,81.09427373105348,409.2430035144974
44,14,2,1057.8353994961567,1464.4402434345966
45,15,0,349.60728029317266,370.18786029954344
46,15,1,135.77501236963633,418.9444248858589
47,15,2,1021.7939045924219,1473.6144421373656
48,16,0,438.3717728055078,364.5586919104992
49,16,1,231.9882960413081,477.1314974182445
50,16,2,1041.452901812641,1476.8909416740687
51,17,0,529.5245493620583,364.0142285177679
52,17,1,319.54492254733213,524.0368330464717
53,17,2,927.4307179353705,1483.4439407474752
54,18,0,636.2401844470346,359.6044915307854
55,18,1,394.5934595524957,583.4502581755595
56,18,2,909.7376204371733,1470.993242508003
57,19,0,766.7683992617167,344.611385775045
58,19,1,389.7758628198272,647.3688008115514
59,19,2,937.2602165454799,1446.7471459363994
